seller_rank,seller_id_short,seller_state,total_orders,seller_attributed_order_value,avg_review,late_rate,performance_tier
399,5d0363b3...5f3c,SP,94,8802.970000000001,4.042553191489362,0.08602150537634409,medium
400,5b925e1d...b73b,SP,63,8801.84,4.603174603174603,0.06349206349206349,medium
401,4e17c65a...28d6,SP,61,8794.800000000001,4.229508196721311,0.06557377049180328,medium
402,8a32e327...f042,SP,132,8792.04,3.83206106870229,0.031746031746031744,medium
403,dbb9b48c...ec3e,SP,108,8768.26,4.268518518518518,0.037037037037037035,medium
404,b410bdd3...33b8,GO,44,8733.61,4.659090909090909,0.023809523809523808,medium
405,062ce95f...565f,RS,55,8721.439999999999,4.036363636363636,0.037037037037037035,medium
406,e333046c...0130,SP,68,8699.32,4.338235294117647,0.058823529411764705,medium
407,1da366ca...d4bf,MG,43,8673.73,3.9285714285714284,0.11904761904761904,medium
408,1127b7f2...486b,SP,114,8673.04,4.087719298245614,0.02727272727272727,medium
409,ececbfcf...ef2b,SP,98,8661.060000000001,4.112244897959184,0.10309278350515463,medium
410,397c4d0c...28cb,SP,5,8622.369999999999,4.4,0.4,medium
411,bbf9ad41...b8c4,CE,14,8622.26,4.5,0.0,medium
412,2c9e548b...6de8,SP,126,8603.05,4.112903225806452,0.16129032258064516,medium
413,3bb548e3...0e59,PR,46,8586.81,4.195652173913044,0.0,medium
414,058fd0aa...abb6,SP,61,8555.8,4.39344262295082,0.06666666666666667,medium
415,a420f60f...b313,SP,67,8543.27,3.953846153846154,0.08955223880597014,medium
416,cc63f0dd...21fa,SP,55,8496.68,4.090909090909091,0.0,medium
417,67883baa...3728,SP,19,8496.02,4.105263157894737,0.15789473684210525,medium
418,52f976b1...28f6,PR,6,8492.65,3.6666666666666665,0.0,medium
419,42bde9fe...f245,DF,35,8487.84,4.257142857142857,0.029411764705882353,medium
420,86bb7c4b...95b1,SP,16,8487.22,3.2,0.1875,medium
421,8fb79102...636d,SP,5,8483.35,4.2,0.0,medium
422,d51e0a40...6e12,SP,19,8463.02,4.105263157894737,0.1111111111111111,medium
423,4aba391b...37b2,BA,29,8435.21,3.896551724137931,0.14814814814814814,medium
424,282f23a9...9941,MG,99,8386.96,4.333333333333333,0.05102040816326531,medium
425,6a51fc55...c613,SP,26,8370.25,3.769230769230769,0.08333333333333333,medium
426,6bd69102...85c2,SP,5,8359.02,3.0,0.2,medium
427,381c83fd...6e4a,PR,46,8355.01,4.391304347826087,0.043478260869565216,medium
428,e2aee089...25bf,PR,38,8317.289999999999,3.789473684210526,0.1388888888888889,medium
429,aced59e9...d418,SP,61,8315.8,4.426229508196721,0.08196721311475409,medium
430,c26a2be5...a779,RJ,13,8288.85,3.3846153846153846,0.0,medium
431,54065e9a...021a,RJ,14,8283.43,3.857142857142857,0.0,medium
432,34056b8b...799c,SP,78,8229.89,4.0,0.11688311688311688,medium
433,6a8b085f...5f8f,SP,127,8196.960000000001,4.122047244094488,0.096,medium
434,dbdd0ec7...a022,CE,16,8174.800000000001,4.375,0.0625,medium
435,e0a36631...f530,SP,43,8145.17,4.3023255813953485,0.046511627906976744,medium
436,cee48807...f250,SP,39,8125.52,3.769230769230769,0.15384615384615385,medium
437,b14db04a...7925,SP,83,8123.95,3.7125,0.11538461538461539,medium
438,7bac63f6...00a8,SP,19,8114.599999999999,4.0,0.15789473684210525,medium
439,8476243f...f115,RS,12,8113.030000000001,4.083333333333333,0.08333333333333333,medium
440,516e7738...0d8d,RJ,76,8109.32,4.565789473684211,0.05405405405405406,medium
441,b3476778...09b7,PR,21,8051.34,4.523809523809524,0.0,medium
442,670c26e0...6d2b,PR,78,8035.630000000001,4.269230769230769,0.05194805194805195,medium
443,d13e50ea...8cfc,SP,67,8012.840000000001,4.82089552238806,0.21212121212121213,medium
444,11305281...1876,MG,35,7973.209999999999,4.314285714285714,0.11428571428571428,medium
445,dee656f0...f08f,SP,93,7968.67,4.369565217391305,0.05434782608695652,medium
446,f84a00e6...a5bb,RJ,90,7951.759999999999,3.8333333333333335,0.11363636363636363,medium
447,6fa9202c...b2a3,SP,3,7939.249999999999,4.333333333333333,0.0,medium
448,080102cd...0e05,MG,124,7912.710000000001,4.475806451612903,0.040983606557377046,medium
449,58f1a619...fce2,MG,44,7903.6900000000005,4.181818181818182,0.023809523809523808,medium
450,688756f7...a64a,SP,83,7901.449999999999,3.8658536585365852,0.08641975308641975,medium
451,f1fd5ab1...7d74,PR,15,7877.959999999999,4.666666666666667,0.0,medium
452,fa1a9dec...f1fc,SC,55,7875.71,4.111111111111111,0.0,medium
453,bacb1f0e...e9a5,SP,42,7833.389999999999,4.075,0.02631578947368421,medium
454,6b243f80...5f3c,PR,79,7807.400000000001,4.265822784810126,0.0379746835443038,medium
455,f25e2390...ab2a,SP,8,7785.4800000000005,4.25,0.0,medium
456,d624126b...28a8,PR,23,7768.5,4.318181818181818,0.043478260869565216,medium
457,8c16d1f3...2e1b,SC,108,7754.67,4.355140186915888,0.009259259259259259,medium
458,512d298a...f61d,RJ,11,7723.87,4.2727272727272725,0.0,medium
459,87e24fc7...d8be,SP,8,7709.86,3.5,0.14285714285714285,medium
460,751bdc4d...6b03,SP,54,7703.74,3.8076923076923075,0.0196078431372549,medium
461,dd55f1bb...f745,SP,35,7701.18,3.742857142857143,0.17142857142857143,medium
462,376a8917...fdda,GO,57,7693.630000000001,4.666666666666667,0.03508771929824561,medium
463,014c0679...666a,MG,14,7686.31,3.857142857142857,0.14285714285714285,medium
464,d9bd9481...c73e,SP,54,7682.110000000001,4.796296296296297,0.1111111111111111,medium
465,83e197e9...6c47,RJ,47,7680.06,4.808510638297872,0.021739130434782608,medium
466,ff1fb4c4...4122,SP,46,7666.950000000001,4.0,0.15217391304347827,medium
467,63b464db...afed,SP,37,7662.25,3.7837837837837838,0.05555555555555555,medium
468,54219883...fa0f,SP,5,7579.549999999999,3.2,0.0,medium
469,31ae0774...005f,SP,11,7570.67,4.0,0.09090909090909091,medium
470,57e63271...3e7e,SC,62,7558.039999999999,4.419354838709677,0.0,medium
471,f4649062...7711,SP,83,7550.67,3.6626506024096384,0.125,medium
472,30829ded...c95f,RS,18,7549.71,3.7777777777777777,0.05555555555555555,medium
473,b19f3ca2...8d8f,MG,24,7549.55,2.7916666666666665,0.3157894736842105,medium
474,96163520...1c80,PR,92,7490.57,4.304347826086956,0.0,medium
475,3340ef19...c339,PR,32,7481.550000000001,4.375,0.09375,medium
476,ade45994...037b,PR,10,7479.630000000001,4.5,0.0,medium
477,e5e33c0d...338f,SP,28,7477.329999999999,4.321428571428571,0.11538461538461539,medium
478,679769a9...13f3,MG,21,7467.39,4.571428571428571,0.0,medium
479,ba143b05...ce92,SP,85,7453.59,4.416666666666667,0.1566265060240964,medium
480,a4b6b9b9...04bc,SC,7,7452.36,3.2857142857142856,0.16666666666666666,medium
481,7dc8c42c...e9bf,SP,41,7445.09,4.195121951219512,0.04878048780487805,medium
482,05d2173d...ca76,MG,62,7438.930000000001,4.183333333333334,0.06451612903225806,medium
483,5b678826...4f6b,PR,27,7432.42,4.0,0.037037037037037035,medium
484,0873d9f8...8cfb,SP,6,7426.65,3.1666666666666665,0.5,medium
485,2a261b5b...4f2c,SP,51,7396.73,3.8627450980392157,0.19607843137254902,medium
486,0691148a...35ae,PR,47,7359.449999999999,4.180851063829787,0.02127659574468085,medium
487,6f892e20...319b,SP,44,7342.860000000001,3.9302325581395348,0.0975609756097561,medium
488,b8630e11...c2e2,RJ,12,7334.1,4.333333333333333,0.16666666666666666,medium
489,b3b17aab...eb70,PR,7,7325.35,4.857142857142857,0.14285714285714285,medium
490,40d54b51...8dee,SP,30,7323.25,4.0,0.0,medium
491,3ade81da...5260,SP,30,7302.99,4.0,0.14285714285714285,medium
492,4c03b9dd...9420,SP,48,7302.33,4.1063829787234045,0.020833333333333332,medium
493,bd4889b5...ea5c,SP,36,7256.54,4.4,0.0,medium
494,3be63455...fdc7,SP,83,7226.65,3.963855421686747,0.0875,medium
495,cfa5ab0e...1c62,MG,16,7219.81,3.6875,0.0,medium
496,5670f4db...cf7c,SP,22,7212.65,4.409090909090909,0.045454545454545456,medium
497,02f623a8...54e6,SP,44,7207.629999999999,4.558139534883721,0.09090909090909091,medium
498,ff4ea69c...8170,SP,9,7188.62,4.5,0.0,medium
499,455c5640...5727,SC,8,7186.889999999999,4.5,0.0,medium
500,ea67327e...24df,SP,32,7180.280000000001,3.53125,0.03125,medium
501,537eb890...c564,RJ,160,7178.9,4.221875,0.056962025316455694,medium
502,33dd941c...a552,ES,5,7168.41,4.4,0.0,medium
503,91f848e9...3370,SP,63,7168.16,4.278688524590164,0.03333333333333333,medium
504,4b5f66b7...b177,PR,23,7115.96,4.090909090909091,0.043478260869565216,medium
505,e3b4998c...6277,SP,3,7114.6900000000005,2.6666666666666665,0.0,medium
506,e8b42252...395d,SP,31,7086.13,4.193548387096774,0.1,medium
507,a63bfbaa...cc7f,RJ,7,7036.1900000000005,4.428571428571429,0.16666666666666666,medium
508,67bf6941...3e53,PR,16,7029.679999999999,4.125,0.13333333333333333,medium
509,33c51922...c99d,PR,18,7025.880000000001,4.235294117647059,0.05555555555555555,medium
510,b2479f94...84d6,SP,103,6992.22,3.450980392156863,0.13861386138613863,medium
511,b6d44737...50bd,SP,62,6935.199999999999,4.467741935483871,0.06557377049180328,medium
512,80ceebb4...a1e2,PR,1,6922.21,,1.0,medium
513,e9d99831...3f92,SP,130,6916.0599999999995,3.9302325581395348,0.1076923076923077,medium
514,f12ff17a...649b,SP,29,6892.7300000000005,3.8275862068965516,0.10714285714285714,medium
515,50c99756...d1da,MG,50,6883.949999999999,3.938775510204082,0.14,medium
516,2fdde51a...d0b5,SC,10,6874.14,4.7,0.0,medium
517,0bf0150d...f085,SP,39,6872.339999999999,3.789473684210526,0.20512820512820512,medium
518,dfc5fb72...8f0f,SP,33,6845.9800000000005,4.121212121212121,0.030303030303030304,medium
519,abe021b0...32df,PR,2,6837.24,3.5,0.0,medium
520,eb3071b9...f26b,SP,9,6811.419999999999,4.555555555555555,0.1111111111111111,medium
521,bba74270...1c39,MG,36,6760.4400000000005,3.9722222222222223,0.0,medium
522,3df020b7...0b65,SP,55,6749.47,4.054545454545455,0.12727272727272726,medium
523,b4a476fb...366a,SP,33,6735.950000000001,3.84375,0.1,medium
524,ee27a8f1...b391,GO,1,6726.66,5.0,0.0,medium
525,98dac663...7414,SP,91,6675.37,4.144444444444445,0.0898876404494382,medium
526,9baf5cb7...c5c3,SP,32,6673.400000000001,4.3125,0.0,medium
527,f4c4daa8...03a5,PR,20,6671.2,3.7,0.05555555555555555,medium
528,f181738b...b193,SP,36,6632.75,4.472222222222222,0.1111111111111111,medium
529,4917cee8...f315,SC,33,6621.540000000001,4.15625,0.03225806451612903,medium
530,45ba18c2...e9ee,SP,38,6562.09,3.8684210526315788,0.05714285714285714,medium
531,dfa0c4c6...28ff,SC,77,6544.21,4.0,0.03896103896103896,medium
532,94e93ce8...be41,SP,30,6542.72,3.9310344827586206,0.0,medium
